,restaurant_name,review_stars,text,date,review_age,review_length,high_emotional_language,mixed_sentiment,direct_warning,indirect_warning,contamination_hygiene,log_compliment_photos
118198,McDonald's,1,"Not a good place to go to if you want to be ripped off. we have attended this place a few times in december and january this year more than usual but over the period of 1.5 years isnt still a good place to go to. Now medowie macdonalds is open i would drive that little bit extra to go there and get a good meal and get what you ordered with a smile. We have had missing drinks, missing hash browns, missing icecreams, ive had to keep telling the young girl this and that is missing after the 3rd time she got pissy at me for it... always waiting bayed and they delete your order and they dont give you what they want because they want their monthly bonuses rather happy returning customers.",2022-01-17 3:54,1079,134,1,0,0,0,0,0
103415,McDonald's,1,Worst McDonald's ever. Every time we get stuff from here it's either messed up or they forget stuff. This trip they almost didn't even give us all our food. My husband had to tell them they forgot our food. Didn't even give the toys they're supposed to be giving. We got Pok??mon stuff. We were expecting Sing 2 or Encanto toys.  My daughter's cheeseburger in her happy meal had onions on it. Never once in all the times we've gotten a cheeseburger happy meal has there been onions on the burgers. And they didn't even give us her juice with her happy meal. Seriously if I could give 0 stars I would!!,2022-01-17 0:50,1079,112,1,0,0,0,0,0
114812,McDonald's,1,Burnt fries and nuggets every time. Employees barely acknowledge your existence. Avoid this location.,2022-01-16 17:38,1080,14,0,0,0,1,0,0
31161,McDonald's,1,"Worst place in town.  Order on the app, show up at 930.  Closed.  They just shut down at any random hours.  When they are ""open"", expect 5o wait a min of 30 minutes if there's 2 or more cars in the drive through.  Oh yeah, they shut down walk in for over a year.  Update your hours people.  Stop wasting everybody's time.",2022-01-16 5:59,1080,62,1,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
