,restaurant_name,review_stars,text,date,review_age,review_length,high_emotional_language,mixed_sentiment,direct_warning,indirect_warning,contamination_hygiene,log_compliment_photos
118198,McDonald's,1,"Not a good place to go to if you want to be ripped off. we have attended this place a few times in december and january this year more than usual but over the period of 1.5 years isnt still a good place to go to. Now medowie macdonalds is open i would drive that little bit extra to go there and get a good meal and get what you ordered with a smile. We have had missing drinks, missing hash browns, missing icecreams, ive had to keep telling the young girl this and that is missing after the 3rd time she got pissy at me for it... always waiting bayed and they delete your order and they dont give you what they want because they want their monthly bonuses rather happy returning customers.",2022-01-17 3:54,1079,134,1,0,0,0,0,0
103415,McDonald's,1,Worst McDonald's ever. Every time we get stuff from here it's either messed up or they forget stuff. This trip they almost didn't even give us all our food. My husband had to tell them they forgot our food. Didn't even give the toys they're supposed to be giving. We got Pok??mon stuff. We were expecting Sing 2 or Encanto toys.  My daughter's cheeseburger in her happy meal had onions on it. Never once in all the times we've gotten a cheeseburger happy meal has there been onions on the burgers. And they didn't even give us her juice with her happy meal. Seriously if I could give 0 stars I would!!,2022-01-17 0:50,1079,112,1,0,0,0,0,0
114812,McDonald's,1,Burnt fries and nuggets every time. Employees barely acknowledge your existence. Avoid this location.,2022-01-16 17:38,1080,14,0,0,0,1,0,0
31161,McDonald's,1,"Worst place in town.  Order on the app, show up at 930.  Closed.  They just shut down at any random hours.  When they are ""open"", expect 5o wait a min of 30 minutes if there's 2 or more cars in the drive through.  Oh yeah, they shut down walk in for over a year.  Update your hours people.  Stop wasting everybody's time.",2022-01-16 5:59,1080,62,1,0,0,0,0,0
58104,McDonald's,1,This McDonald's and the other one nearby on City Ave are now regularly closing to people and only serving DoorDash and UberEats. Don't waste your time driving here just to be told that they won't serve you. You can read more about their new deal in this article: https://restaurantbusinessonline.com/financing/mcdonalds-announces-new-deals-doordash-uber-eats,2022-01-16 4:18,1080,49,0,0,0,1,0,0
93600,McDonald's,1,This McDonald's and the other one nearby on City Ave are now regularly closing to people and only serving DoorDash and UberEats. Don't waste your time driving here just to be told that they won't serve you. You can read more about their new deal in this article: https://restaurantbusinessonline.com/financing/mcdonalds-announces-new-deals-doordash-uber-eats,2022-01-16 4:17,1080,49,0,0,0,0,0,0
16993,McDonald's,1,Every time I order from here I'm missing something in my order. It's covid you put stickers on the bag so the dashers can't even check the order to make sure everything's in there. At least have the common courtesy to do your job and check yourself. I missing some nuggets. 1 time I got 2 slushees that I didn't even order and no meal. This is stupid get it together.,2022-01-16 3:38,1080,71,0,0,0,0,0,0
117915,McDonald's,1,The worst McDonalds ever!I walked into lobby got half way to counter a woman informed me the lobby is closed.I asked why ?Talked to the manager she said we are closed and called me a cracker under her breath.REALLY???I wouldn't go thru drive through I was afraid they would spit in my food and I assure you I am always polite!!!,2022-01-15 17:30,1081,61,1,0,0,0,0,0
106202,McDonald's,1,"I asked to add lettuce and tomato to my cheeseburgers, and literally got 1 tiny tomato and like 5 pieces of lettuce on each.....they charged me an extra $.80 total for all of that, and I def got ripped off.",2022-01-15 16:49,1081,40,0,0,0,0,0,0
78504,McDonald's,1,Ese Mc Donal los empleados no atienden los clientes bien y cuando sirven lo hacen incorrecto y siempre est??n jodiendo poca atenci??n le doy un o,2022-01-15 13:30,1081,26,0,0,0,0,0,0
96539,McDonald's,1,Please cook the red out of your burgers. I ate it half raw because I was starved. But come on guys. And please for godsake fill your drinks up. We're getting them filled 2/3 lately.,2022-01-15 12:04,1081,35,0,0,0,0,0,0
86026,McDonald's,1,This is by far the worst McDonald's I have ever been to. The manager is too lazy to even light up the sign out front. I once went in and waited 40 minutes for a 1/4 Pounder with cheese. Twice I have gone through the drive through and found that my hamburger didn't have any ketchup or mustard on it. McDonald's can be a decent place to eat if managed right. This manager needs to be fired.,2022-01-15 2:48,1081,77,1,0,0,0,0,0
67115,McDonald's,2,"Drive-through on us Friday night, 20 minutes waiting to get to the window. Slowest drive through for any McDonald's!  This is ridiculous!!",2022-01-15 2:02,1081,22,1,0,0,0,0,1.945910149
98734,McDonald's,1,The Ronald McDonald house is kicking children out if they have UNvaccinated family members...they are involved in child rape,2022-01-14 21:20,1082,19,1,0,0,0,0,0
81000,McDonald's,1,"ive been to this mcdonalds multiple times and this last time was the final straw. one time they forgot multiple items and then proceeded to tell me that i was incorrect. then never giving me my receipt they had to double check it on their end, which infact they were incorrect. today i ordered a large meal and they gave me a medium, but the girl in the window never gave me a receipt. i shouldnt have to ask for it everyrtime! and they should not be getting some little item messed up EVERYTIME i order. i also got rootbeer but they gave me a sweet tea. i would stay away from this mcdonalds and just go down the road to burger king, arbys, or the chickfila",2022-01-14 21:01,1082,127,0,0,0,1,0,0
82807,McDonald's,1,"Night shift looks to be leaving the outdoor lights off some nights. Came at 830 pm tonight. Sign on the drive through saying cash only this time. So I didn't even ask about the shake machine. Had to ask if someone was there twice with no response. I was persistent and I would not be deterred of enjoying my beloved Micky Ds. On the third attempt after two minutes waiting someone greeted me. I was basically shouting at a speaker In the dark like a mentally ill person. There was no one in line and no customers in the store. Seemed they didn't want to be bothered. I attempted a friendly exchange while the girl who counted my change but she did not speak. I think the words she uttered were ""uh huh"" It was extremely hard to understand her, sounded like she was chewing on something and underwater at the same time. It also seemed she didn't like the idea of other human lives being in her presence. Felt very unwell and unwelcome. She also looked extremely unwell.... 
The store resembled a dark place, almost like a dark hole that sucks planets into it, never to return. That goes for the lighting and the customer service energy.

Dude at the second window was cool like "" yo bro what's up , have a good night"" 
I said ""you too bro. "" 
... that part felt uplifting so I am thankful for that.

Sandwich was straight, the patties were hot. 
Keep the kitchen, gut the rest. There is a virus in there that needs removal.",2022-01-14 2:06,1082,265,1,1,0,0,0,0
82112,McDonald's,1,"I would give 0 stars if I could. I made a mobile order. I decided to go into the store and check on my order after waiting 12 minutes in the designated parking spot. The cashier looks in the system and said ""We don't have your order"". I pull up the app and confirm that I made an order, showed my receipt to the cashier. She gets a manager, Karina. The manager looks in the computer and says ""we don't have your order"". I preceded to show her my order on the mobile app. She walks away. I wait thinking she's fulfilling my order. Nope, she just walked away. So ask the cashier to get the manager back. The manager proceeds to tell me there is nothing they can do if the order isn't in their system. She can't be sure via the mobile app that I paid. I proceed to show her the email confirmation which has my credit card information, the authorization code and amount paid. She continues to say there is nothing she can do. Mobile ordering is different from McDonald's. Even though it was the McDonald's app that I used! When money is taken and services or products are not received that is by definition STEALING! I'm currently waiting on corporate to refund my monies. I will never go to this establishment again.",2022-01-13 22:03,1083,227,1,0,0,1,0,0
96883,McDonald's,1,"The absolute worst!, started taking my order then stopped, took someone else's order then decided to finally take my order over Again!!  Waited almost 15 minutes, finally got my food but no drink! Another 5 minutes to ask me what I'm waiting for, I told them my drink then they blew me off!!  This was around 10:30 at night!  The absolute worst!!!",2022-01-13 12:55,1083,62,1,0,0,0,0,0
32351,McDonald's,1,"This location has steadily gone from bad to worse. When I got there, the drive-thru was 3 cars deep at the oder board even though the drive-thru lane itself was empty. So, I decided to go inside the restaurant; the lobby was empty save for one person waiting for his order.  I placed my order: 2 Quarter-pounders, 3 apple pies, a 6-pcs nugget, 1 large french fries and a Strawberry-Banana smoothie. I knew I was going to wait a few minutes but more than half an hour later and after everyone who'd come in after me had already left. I finally asked about my order. It was hastily put together. I had let the lady know I was missing the smoothie (but not her fault, she just started her shift and was the only person expediting orders). The ""manager"" was hanging around in the parking lot. After I arrived home with my order, I realized they also missed giving me my nuggets and the food was lukewarm, almost cold. NEVER AGAIN! I'm not wasting my hard-earned money ever again at a McDonald's.",2022-01-13 0:45,1083,182,1,0,0,1,0,0
79332,McDonald's,2,"They're improving. The young man on drive through (2pm on Wednesday) is EXCELLENT.  Smart, personable young man.   Making a big difference!",2022-01-12 19:21,1084,21,0,0,0,0,0,0
31116,McDonald's,1,if i could give ---- star rating i would!!! absolutely do not doordash this location! lobby is always closed and they have the slowest staff known to man kind at the drive thru! fix your stupid store!,2022-01-12 16:20,1084,37,1,0,0,1,0,0
85493,McDonald's,1,"This mcdonald's owes me $5.49 I ordered a mobile order, sat in a curbside spot for 40 minutes and then went through the drive through and was told they never got my order even though I showed them my receipt that had been emailed to me they rolled their eyes and said they aren't giving me it. I expect the owner to be contacting me. Absolute bull shit.",2022-01-12 1:53,1084,68,1,0,0,0,0,0
103246,McDonald's,1,I am so disappointed!!!!! I love and cherish the Buffalo sauce from McDonald's and did not receive ANY!!!! I placed an order through the mobile app asking for 2 sauces and I get none!!! Save your money and go somewhere else!!,2022-01-12 0:57,1084,41,0,0,0,1,0,0
79414,McDonald's,1,"If I could give less than a star I would, week day staff is awful, they are in such a rush they don't get the order right, and if it's right and your at the drive thru, by the time you pay it's wrong, or when you go to pick up order it's wrong, I've been 5x and all 5x my order was wrong, I'm gonna drive to Dickerson Rd, it might me further but my order is always correct and the food is hot and fresh!!!!!",2022-01-11 19:18,1085,87,1,0,0,0,0,0
64302,McDonald's,1,"Just order a large coffee through the mobile app waited 10 minutes and employee came outside and told me that they did not have the large was a medium fine I agreed to say yes waited another 10 minutes still no coffee.. I left
I purposely use the mobile app to skip the line that didn't work and you guys made me late for work",2022-01-11 15:35,1085,65,0,0,0,0,0,0
57122,McDonald's,1,"Tonight at 11:30 the manager threatened to call the police on me because she refused to honor their apple pie deal.  The sign at the drive through still says that if they forget to ask you about MyMcDonalds Rewards, you get a free apple pie.  The young lady at the drive through didn't ask about the rewards program, so I asked for the apple pie.  The angry night manager yelled through the window to me, claiming that they had quit that deal a month ago, and that I could just sit in the drive through until she ""call da police, 'cuz he ain't getting' no apple pie.""  
If that's so, then why have they served me the free apple pie twice in just this last week when they've forgotten to ask me each time?  And why does their drive through sign still say they have that deal if they don't?
What a nasty, bitter manager lady.  I should patronize the Wendy's, Culver's, Chick-fil-a, or other places right up the street whether the management is more polite.",2022-01-11 5:36,1085,176,1,0,0,0,0,0
103818,McDonald's,1,Never received my food from DoorDash I didn't know who to contact about getting my order,2022-01-10 23:15,1086,16,0,0,0,0,0,0
65772,McDonald's,1,"LOL THANKS MCDONALD'S FOR JUST EGG MCGRIDDLES YOU PETTY ASSES  this is by far the worse mcdonald's i've ever been to, not the first time they've done this shit. (and my bf got this he never checks the bags like a dummy lol)",2022-01-10 16:36,1086,43,1,0,0,0,0,0
118161,McDonald's,1,"Just came home from work and stopped to pick up 4 McDoubles  (at about 1:30am) priced at $1.39 each.  I was charged $9.37.  They had no change  (imagine that) available for the $10 total that I gave the young lady.  I asked if the price had gone up, she said yes.  Knowing otherwise I chose not to belabor the point and figured that if she needed the +$3 bad enough to lie and steal for it - She can have it.  Watch out Everyone!.  I'll never patronize that particular restaurant again.  I might as well be held up!",2022-01-10 8:08,1086,98,1,0,0,0,0,0
69217,McDonald's,1,"I arrived at this store at 10:30 pm and waited for 1 hour. Also, The staff is so rude and the management system is not complete. They lost my online order but didn't go back to check. The food is as bad as the staff. Even though I waited for an hour, you can't get the satisfying food. Don't waste money in this store. Finally, Do not come this store!!!!",2022-01-10 8:03,1086,70,1,0,0,1,0,0
17169,McDonald's,1,I have been sitting/stuck in this drive thru for over an hour and a half. This place is an absolute joke. Ridiculous.,2022-01-10 5:54,1086,22,1,0,0,0,0,0
62358,McDonald's,1,"Burgers still mooing. You guys have a bunch of dumb asses working in there, how are you guys still open?",2022-01-10 0:02,1086,20,1,0,0,0,0,0
58542,McDonald's,1,"This McDonald's is easily the worst location in the greater St. Louis area. I only go here because it's less than 3 minutes away from home and my picky kids love their scrambled eggs.
They always require us to repeat our order multiple times. Despite that, more often than not, there is a mistake (wrong drink, missing item, etc.).
And worst of all is the attitude of the employees. They are consistently rude, blaming customers for their mistakes, scolding people for not waiting longer at a vacant window, or simply having a ""please go away"" demeanor.
Additionally, calls to feedback number posted (314-270-4901) seem to fall on deaf ears as nothing has changed over the last 3 years. And given how long this has been an issue, this is clearly not a consequence of the pandemic.",2022-01-09 21:22,1087,136,0,0,0,0,0,0
95006,McDonald's,1,Location has finally Jeff saying that the dining room is open but they have the doors locked when I tried to go in they claimed that the dining room close but they had people inside eating so she refused to open the door even though the sign says the dining room is open the young lady who claimed to be a manager was very rude and nasty and told me to go somewhere else if I didn't want to go through the drive-through when I asked her what her name was she refused to give me mine her name the best way to describe her is she was a short Caucasian woman with right now teeth I have gone to this location on several occasions and nothing is ever corrected the communication is very poor because no one speaks English,2022-01-09 19:18,1087,140,1,0,0,0,0,0
96866,McDonald's,2,"I know it's just McDonalds but this is the second time I've been in there, got a large fry and they gave me like 10 fries. At least fill the container",2022-01-09 17:44,1087,31,0,0,0,0,0,0
82728,McDonald's,1,They get my order wrong 90% of the time and they always seem grouchy and irritated that your making them work,2022-01-09 16:58,1087,21,0,0,0,0,0,0
72736,McDonald's,2,"Went to the drive-thru and sat there for 30 minutes. One of the cars honked just to see what was going on and then finally a worker spoke in the intercom screaming ""honking won't get you your food any faster"". Both windows had 2 people working and I am sure 2 more in the kitchen. They charge extra for sauces...I got a large fries and it was literally the size of a small. Very poor service!",2022-01-09 15:19,1087,76,0,0,0,0,0,0
103940,McDonald's,1,Awful service. Rarely get the our order right. And I don't think they care either. ..,2022-01-09 5:07,1087,16,1,0,0,0,0,0
71197,McDonald's,1,"This may be one of the worst McDonalds I have ever been to. Surprising given it's in a relatively upscale neighnorhood. Dirty, long lines, understaffed, and a comedy of errors in fulfilling orders if numerous custoners around me. No surprise that that so many previous reviews echo my impression!",2022-01-08 17:52,1088,49,1,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
